Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,HO deletion,Plasmid class,Plasmid CN,Ploidy,Aneuploidies,Zygosity,Total number of SNPs,Proportion of clean heterozygous SNPs (whole dataset),Number of singletons,Mean coverage,Clades
EXF-5295,BFC,Kefyr,Fermentation,Slovenia,no,A,75,2,euploid,homozygous,"42,404",0,305,231,Wine/European 
CBS4458,AGL,Red wine,Wine,France,yes,A,10,1,euploid,homozygous,"43,585",0,565,921,Wine/European 
YJM434_1b,ABE,"Human, clinical ","Human, clinical",NA,yes,A,30,1,euploid,homozygous,"42,562",0,117,197,Wine/European 
YJM453,SACE_YAM,Unknown,"Human, clinical",NA,no,A,70,2,euploid,homozygous,"41,676",0,139,82,Wine/European 
DBVPG1554,BKI,Wine,Wine,Dalmatia ,no,A,12,2,euploid,homozygous,"42,541",0,248,242,Wine/European 
DBVPG1794_1b,ABR,Soil,Soil,Finland,yes,A,34,1,euploid,homozygous,"42,682",0,3,189,Wine/European 
DBVPG1788_1b,ABQ,Soil,Soil,Finland,yes,A,29,1,euploid,homozygous,"42,848",0,12,202,Wine/European 
DBVPG1790,BNV,Soil,Soil,"Turku, Finland",no,A,8,2,euploid,homozygous,"43,052",0,1,257,Wine/European 
DBVPG1795,BPB,Grape must,Wine,"Illasi, Verona, Italy",no,A,11,2,euploid,homozygous,"43,363",0,393,368,Wine/European 
DBVPG1960,BPT,Grape must,Wine,"Recioto, Verona, Italy",no,A,9,2,euploid,heterozygous,"45,188",9.9,337,255,Wine/European 
DBVPG4162,BQM,Grape must,Wine,"Reggio Emilia, Italy",no,A,8,2,euploid,heterozygous,"45,851",13.3,385,199,Wine/European 
EXF-6761,BFK,Quercus cerris,Tree,Slovenia,no,A,54,2,euploid,homozygous,"42,620",0,310,296,Wine/European 
DBVPG4410,BQS,Wine,Wine,Italy ,no,none,0,2,euploid,heterozygous,"43,600",5.2,511,239,Wine/European 
DBVPG2166,BQE,Sagrantino wine,Wine,"production zone of Sagrantino wine, Montefalco, Foligno, Italy",no,A,10,2,euploid,heterozygous,"46,097",15.3,490,186,Wine/European 
MC5,AIN,Cooked wine (vino cotto),Wine,"Ascoli Piceno, Italy",no,none,0,2,euploid,heterozygous,"44,430",6.6,677,218,Wine/European 
DBVPG4381,BQR,Seawater,Water,Italy ,no,A,13,2,euploid,heterozygous,"43,741",4.8,528,209,Wine/European 
DBVPG1984,BLT,Grape must,Wine,Slovenia,no,A,8,2,euploid,heterozygous,"45,306",8.9,596,346,Wine/European 
CBS457,AIF,Grape must,Wine,Italy,no,A,26,2,euploid,heterozygous,"44,600",10.1,10,224,Wine/European 
CBS1190,AQR,Wine,Wine,Germany,no,A,68,2,aneu;+1*11;+1*14;,heterozygous,"44,653",9.9,4,216,Wine/European 
DBVPG1832,BPF,Fruit juice,Fruit,NA,no,none,0,2,euploid,heterozygous,"44,882",10,401,258,Wine/European 
DBVPG1973,BLR,Grape must,Wine,Greece,no,none,0,2,euploid,heterozygous,"45,338",10.3,34,249,Wine/European 
DBVPG1708,BNL,Soil,Soil,"Ultura, Sweden",no,none,0,2,euploid,heterozygous,"44,885",8.7,14,245,Wine/European 
DBVPG1861,BPK,River water,Water,"Rajamaki River, Finland",no,none,0,2,euploid,heterozygous,"44,940",9.5,188,241,Wine/European 
DBVPG1584,BKQ,Unknown,Unknown,"Porec, Istria",no,A,41,2,euploid,heterozygous,"44,193",5.4,754,237,Wine/European 
DBVPG1841,BPG,Red Tecc,Unknown,Ethiopia,no,A,36,2,aneu;+1*1;,homozygous,"41,579",0,21,132,Wine/European 
DBVPG1843,BPH,White Tecc,Unknown,Ethiopia,no,A,35,2,aneu;+1*1;,homozygous,"42,333",0,11,244,Wine/European 
DBVPG4460,BQT,Wine,Wine,"Jesi, Italy ",no,A,6,2,euploid,homozygous,"42,858",0,410,251,Wine/European 
CBS459,APT,Grape must,Wine,Italy,no,A,102,2,aneu;+1*14;,homozygous,"42,776",0,239,295,Wine/European 
DBVPG1058,BID,Baker's yeast,Bakery,"Pazzaglia, Italy",no,none,0,2,euploid,homozygous,"42,560",0,363,256,Wine/European 
CBS1590,AGI,Grape must / juice,Wine,Italy,no,A,1,2,euploid,homozygous,"42,994",0,339,328,Wine/European 
DBVPG1014,BHV,Grape must,Wine,"Umbria, Italy",no,A,84,2,euploid,homozygous,"42,750",0,373,221,Wine/European 
DBVPG1057,BNE,Grape must,Wine,"Colli Romani, Lazio, Italy",no,A,43,2,euploid,homozygous,"42,723",0,24,224,Wine/European 
DBVPG1599,BLA,Grape must,Wine,"Cerro del Moro, La Mancha, Spain",no,A,21,2,euploid,homozygous,"42,919",0,8,266,Wine/European 
DBVPG1596,BKT,Grape must,Wine,"Santa Cruz de los Canamos, La Mancha, Spain",no,A,15,2,euploid,homozygous,"43,088",0,10,228,Wine/European 
DBVPG1029,BIA,Fermenting Grape must,Wine,"Colli di Roma, Lazio, Italy",no,A,33,2,euploid,homozygous,"42,983",0,8,194,Wine/European 
DBVPG1564,BKL,Grape must,Wine,"Dolianova, Sardinia, Italy",no,A,21,2,euploid,homozygous,"43,188",0,4,245,Wine/European 
DBVPG1041,BIB,Grape must,Wine,"Tuscany, Italy",no,A,44,2,euploid,homozygous,"42,362",0,10,117,Wine/European 
DBVPG1555,BKK,Unknown,Unknown,"Radgona, Slovenia",no,A,25,2,euploid,homozygous,"42,384",0,0,229,Wine/European 
DBVPG1669,BLQ,Grape must,Wine,"Cenicero, Rioja, Spain",no,A,42,2,aneu;+1*11;,homozygous,"42,745",0,2,296,Wine/European 
YJM1336,SACE_YBY,Unknown,Wine,Italy,no,A,114,2,euploid,homozygous,"43,911",0,14,402,Wine/European 
YJM1526,SACE_YDF,Clinical (throat),"Human, clinical",NA,no,A,155,2,euploid,homozygous,"43,687",0,148,251,Wine/European 
YJM1129,SACE_YDO,"Non-Clinical, segregant of NRRL Y-53 (=NRRL Y-567)",Distillery,"Ohio, USA",no,A,47,2,euploid,homozygous,"42,848",0,109,138,Wine/European 
CBS1586,AHG,Pear must,Fruit,NA,yes,A,32,1,euploid,homozygous,"42,683",0,381,228,Wine/European 
C6.1,AII,Palm wine,Palm wine,Cameroon,no,A,25,2,aneu;+1*1;,heterozygous,"44,147",4.6,446,326,Wine/European 
CBS1192,AHD,Wine,Wine,NA,yes,A,26,1,aneu;+1*1;,homozygous,"43,092",0,302,308,Wine/European 
CBS1479,AGF,Wine,Wine,NA,yes,none,0,1,euploid,homozygous,"42,942",0,82,475,Wine/European 
CBS1194,AHE,Wine,Wine,NA,yes,none,0,1,aneu;+1*8;,homozygous,"42,589",0,73,215,Wine/European 
CBS1175,AQQ,Wine,Wine,Switzerland,no,A,75,2,aneu;+1*9;+1*14;,heterozygous,"43,685",5.4,143,175,Wine/European 
CBS1489,ASG,Tubercular lung,"Human, clinical",Italy,no,A,46,2,aneu;+2*2;+1*3;+1*8;+1*10;,homozygous,"42,666",0,357,275,Wine/European 
CBS4507,ASD,"Brewer's yeast, English top yeast",Beer,NA,no,none,0,2,euploid,heterozygous,"43,786",4.4,1,239,Wine/European 
CBS4667,ASE,Grapes,Wine,Former Czechoslovakia,no,none,0,2,euploid,heterozygous,"43,656",4.5,1,226,Wine/European 
MC7,AIQ,Spontaneous alcoholic fermentation,Fermentation,"Umbria, Italy",no,A,15,2,euploid,heterozygous,"47,267",16.9,323,251,Wine/European 
DBVPG1625,BLG,Grape must,Wine,"La Enconienda, La Mancha, Spain ",no,A,59,2,euploid,heterozygous,"46,748",15.2,24,300,Wine/European 
DBVPG1629,BLI,Grape must,Wine,"La Mancha, Spain",no,A,39,2,euploid,heterozygous,"47,028",15.7,28,372,Wine/European 
CLIB154_1b,ACP,Wine,Wine,Russia,yes,A,22,1,euploid,homozygous,"43,074",0,221,241,Wine/European 
DBVPG1994,BQA,Grapes,Wine,Greece,no,A,10,2,euploid,homozygous,"42,970",0,215,277,Wine/European 
